SP	SP
궜	g wo T
궝	g wo NG
궞	g wo T
궟	g wo T
궠	g wo K
궡	g wo T
궢	g wo P
궣	g wo T
궤	g we
궥	g we K
궦	g we K
궧	g we K
궨	g we N
궩	g we N
궪	g we N
궫	g we T
궬	g we L
궭	g we L
궮	g we L
궯	g we L
궰	g we L
궱	g we L
궲	g we L
궳	g we L
궴	g we M
궵	g we P
궶	g we P
궷	g we T
궸	g we T
궹	g we NG
궺	g we T
궻	g we T
궼	g we K
궽	g we T
궾	g we P
궿	g we T
귀	g wi
귁	g wi K
귂	g wi K
귃	g wi K
귄	g wi N
귅	g wi N
귆	g wi N
귇	g wi T
귈	g wi L
귉	g wi L
귊	g wi L
귋	g wi L
귌	g wi L
귍	g wi L
귎	g wi L
귏	g wi L
귐	g wi M
귑	g wi P
귒	g wi P
귓	g wi T
귔	g wi T
귕	g wi NG
귖	g wi T
귗	g wi T
귘	g wi K
귙	g wi T
귚	g wi P
귛	g wi T
규	g yu
귝	g yu K
귞	g yu K
귟	g yu K
균	g yu N
귡	g yu N
귢	g yu N
귣	g yu T
귤	g yu L
귥	g yu L
귦	g yu L
귧	g yu L
귨	g yu L
귩	g yu L
귪	g yu L
귫	g yu L
귬	g yu M
귭	g yu P
귮	g yu P
귯	g yu T
귰	g yu T
귱	g yu NG
귲	g yu T
귳	g yu T
귴	g yu K
귵	g yu T
귶	g yu P
귷	g yu T
그	g eu
극	g eu K
귺	g eu K
귻	g eu K
근	g eu N
귽	g eu N
귾	g eu N
귿	g eu T
글	g eu L
긁	g eu L
긂	g eu L
긃	g eu L
긄	g eu L
긅	g eu L
긆	g eu L
긇	g eu L
금	g eu M
급	g eu P
긊	g eu P
긋	g eu T
긌	g eu T
긍	g eu NG
긎	g eu T
긏	g eu T
긐	g eu K
긑	g eu T
긒	g eu P
긓	g eu T
긔	g ui
긕	g ui K
긖	g ui K
긗	g ui K
긘	g ui N
긙	g ui N
긚	g ui N
긛	g ui T
긜	g ui L
긝	g ui L
긞	g ui L
긟	g ui L
긠	g ui L
긡	g ui L
긢	g ui L
긣	g ui L
긤	g ui M
긥	g ui P
긦	g ui P
긧	g ui T
긨	g ui T
긩	g ui NG
긪	g ui T
긫	g ui T
긬	g ui K
긭	g ui T
긮	g ui P
긯	g ui T
기	g i
긱	g i K
긲	g i K
긳	g i K
긴	g i N
긵	g i N
긶	g i N
긷	g i T
길	g i L
긹	g i L
긺	g i L
긻	g i L
긼	g i L
긽	g i L
긾	g i L
긿	g i L
김	g i M
깁	g i P
깂	g i P
깃	g i T
깄	g i T
깅	g i NG
깆	g i T
깇	g i T
깈	g i K
깉	g i T
깊	g i P
깋	g i T
까	gg a
깍	gg a K
깎	gg a K
깏	gg a K
깐	gg a N
깑	gg a N
깒	gg a N
깓	gg a T
깔	gg a L
깕	gg a L
깖	gg a L
깗	gg a L
깘	gg a L
깙	gg a L
깚	gg a L
깛	gg a L
깜	gg a M
깝	gg a P
깞	gg a P
깟	gg a T
깠	gg a T
깡	gg a NG
깢	gg a T
깣	gg a T
깤	gg a K
깥	gg a T
깦	gg a P
깧	gg a T
깨	gg ae
깩	gg ae K
깪	gg ae K
깫	gg ae K
깬	gg ae N
깭	gg ae N
깮	gg ae N
깯	gg ae T
깰	gg ae L
깱	gg ae L
깲	gg ae L
깳	gg ae L
깴	gg ae L
깵	gg ae L
깶	gg ae L
깷	gg ae L
깸	gg ae M
깹	gg ae P
깺	gg ae P
깻	gg ae T
깼	gg ae T
깽	gg ae NG
깾	gg ae T
깿	gg ae T
꺀	gg ae K
꺁	gg ae T
꺂	gg ae P
꺃	gg ae T
꺄	gg ya
꺅	gg ya K
꺆	gg ya K
꺇	gg ya K
꺈	gg ya N
꺉	gg ya N
꺊	gg ya N
꺋	gg ya T
꺌	gg ya L
꺍	gg ya L
꺎	gg ya L
꺏	gg ya L
꺐	gg ya L
꺑	gg ya L
꺒	gg ya L
꺓	gg ya L
꺔	gg ya M
꺕	gg ya P
꺖	gg ya P
꺗	gg ya T
꺘	gg ya T
꺙	gg ya NG
꺚	gg ya T
꺛	gg ya T
꺜	gg ya K
꺝	gg ya T
꺞	gg ya P
꺟	gg ya T
꺠	gg yae
꺡	gg yae K
꺢	gg yae K
꺣	gg yae K
꺤	gg yae N
꺥	gg yae N
꺦	gg yae N
꺧	gg yae T
꺨	gg yae L
꺩	gg yae L
꺪	gg yae L
꺫	gg yae L
꺬	gg yae L
꺭	gg yae L
꺮	gg yae L
꺯	gg yae L
꺰	gg yae M
꺱	gg yae P
꺲	gg yae P
꺳	gg yae T
꺴	gg yae T
꺵	gg yae NG
꺶	gg yae T
꺷	gg yae T
꺸	gg yae K
꺹	gg yae T
꺺	gg yae P
꺻	gg yae T
꺼	gg eo
꺽	gg eo K
꺾	gg eo K
꺿	gg eo K
껀	gg eo N
껁	gg eo N
껂	gg eo N
껃	gg eo T
껄	gg eo L
껅	gg eo L
껆	gg eo L
껇	gg eo L
껈	gg eo L
껉	gg eo L
껊	gg eo L
껋	gg eo L
껌	gg eo M
껍	gg eo P
껎	gg eo P
껏	gg eo T
껐	gg eo T
껑	gg eo NG
껒	gg eo T
껓	gg eo T
껔	gg eo K
껕	gg eo T
껖	gg eo P
껗	gg eo T
께	gg e
껙	gg e K
껚	gg e K
껛	gg e K
껜	gg e N
껝	gg e N
껞	gg e N
